,prev_line,current_line,tone
0,今の会社ではシステムをKL5からGR6に変えました,大変だったろう でもやりました,neutral
1,大変だったろう でもやりました,シューティーでは、職務の話ならしい,neutral
2,シューティーでは、職務の話ならしい,うんちデューティー? どうぞ,surprise
3,うんちデューティー? どうぞ,君は部長職だ デューティーは重いぞ,neutral
4,君は部長職だ デューティーは重いぞ,なるほど だがデューティーは部下に振り分けろ」,neutral
5,なるほど だがデューティーは部下に振り分けろ」,よかった,neutral
6,よかった,その詳細だが,neutral
7,その詳細だが,今はよしましょう,fear
8,今はよしましょう,採用については月曜に電話する だが君なら我が社でやっていける,neutral
9,採用については月曜に電話する だが君なら我が社でやっていける,もうリラックスして 感謝します ジョークを我慢してつらかった,neutral
10,先月デートしたウェートレス?,やっぱよす,sadness
11,やっぱよす,誰のことだよ,surprise
12,誰のことだよ,誰のことか私も分かんない,fear
13,誰のことか私も分かんない,それじゃ一,neutral
14,それじゃ一,今夜泊まる部屋があるか聞いてくる,neutral
15,モニカ,嫌なニュースよ,neutral
16,嫌なニュースよ,聞きたいね,joy
17,聞きたいね,喫茶店になるんだって,neutral
18,喫茶店になるんだって,酒はなし? たむろできないよ,disgust
19,酒はなし? たむろできないよ,ビールを 同居人は?,neutral
20,ビールを 同居人は?,決めた,joy
21,決めた,あのイタリア系?,neutral
22,あのイタリア系?,まあね,joy
23,モニカがかわいそう,回T?,surprise
24,回T?,この詩はモニカのことよ,neutral
25,この詩はモニカのことよ,僕の花瓶は中が空っぽ僕が触れても満たされない,neutral
26,僕の花瓶は中が空っぽ僕が触れても満たされない,空っぽの女だと思ってる,surprise
27,空っぽの女だと思ってる,絶対よモニカは幸せそうなのに,sadness
28,新聞配達に寄った,感触は?,neutral
29,感触は?,気難しい面接官だけどマークの助言どおり一 秋物の話で盛り上がったわ,joy
30,気難しい面接官だけどマークの助言どおり一 秋物の話で盛り上がったわ,さすが君だ,joy
31,さすが君だ,聞いて ごめんよ嫉妬でバカを言ったしっと 君を想うばかりに,sadness
32,聞いて ごめんよ嫉妬でバカを言ったしっと 君を想うばかりに,分かってる,neutral
33,ジョーイよくやった,気に入った?,surprise
34,気に入った?,もちろん,joy
35,もちろん,どのシーンが? 全部だよ帰ろう,neutral
36,どのシーンが? 全部だよ帰ろう,もっと具体的に言って,anger
37,もっと具体的に言って,具体的な部分がよかった,joy
38,具体的な部分がよかった,カンガルーのシーンは? よかった?,neutral
39,カンガルーのシーンは? よかった?,お前は寝てた!,anger
40,お前は寝てた!,俺のカンガルー案は却下されたよ,anger
41,俺のカンガルー案は却下されたよ,今夜はどうもじゃあな,neutral
42,今夜はどうもじゃあな,こいつも寝てるぞ!,surprise
43,ケーキは失敗だとバラそう,今日はみんな変だよ 感謝祭じゃなく告白祭か?,anger
44,私の最期のお願いよ,あの指輪と埋葬されないと私の魂は永遠に地獄を,neutral
45,あの指輪と埋葬されないと私の魂は永遠に地獄を,もう十分,neutral
46,もう十分,そう言われても,neutral
47,そう言われても,よく見せて,joy
48,よく見せて,換えるよ ありがとう,neutral
49,あれからどうしてた?,変わりないわ エアロビ教えたりパーティーで騒いだり,neutral
50,変わりないわ エアロビ教えたりパーティーで騒いだり,ボンド映画のポスターに出てる脚は私のよ,neutral
51,ボンド映画のポスターに出てる脚は私のよ,キャッチが入った,joy
52,キャッチが入った,ホレた 知ってる,neutral
53,ホレた 知ってる,お待たせ,neutral
54,お待たせ,どこかで会わない?,neutral
55,どこかで会わない?,いいとも 明日5時にビレッジのセントラルパークは?,neutral
56,いいとも 明日5時にビレッジのセントラルパークは?,いいわ明日ね,neutral
57,いいわ明日ね,電話加入の元が取れた,joy
58,電話加入の元が取れた,電話じゃボブになれてもご対面したら ニセ者とバレるよ,neutral
59,電話じゃボブになれてもご対面したら ニセ者とバレるよ,ボブに会えず彼女はショックで! 隣の席の男に慰めを求める,neutral
60,ボブに会えず彼女はショックで! 隣の席の男に慰めを求める,君は悪魔だ,disgust
61,バケツを敬えってのよ,入れたと思う?,anger
62,でも僕の式だ,遅れるわ レッツゴー,anger
63,遅れるわ レッツゴー,式のビデオ見せるよ,neutral
64,式のビデオ見せるよ,本だよフィービーちゃん,joy
65,本だよフィービーちゃん,行こうじゃあね,joy
66,行こうじゃあね,ロンドンだぜ,joy
67,明日はオーディション巡りだ 保険はすぐ戻るよ,よかったな トイレに行けば?,disgust
68,よかったな トイレに行けば?,どうした?,disgust
69,どうした?,何でもないダンベルで体操したら腹に痛みが それで気絶して一 その後動けないだけ,fear
70,何でもないダンベルで体操したら腹に痛みが それで気絶して一 その後動けないだけ,大したことない,neutral
71,大したことない,ヘルニアだな医者へ,surprise
72,ヘルニアだな医者へ,行くもんかこの何かが腹から出てくるまではな,fear
73,行くもんかこの何かが腹から出てくるまではな,脱腸だって,disgust
74,脱腸だって,運動して失敗した ダンベルのバカ!,anger
75,ステキな部屋ね これはどこの?,18世紀のインドの装飾品だ,neutral
76,18世紀のインドの装飾品だ,あなたって恐竜以外も詳しいのね,surprise
77,あなたって恐竜以外も詳しいのね,いろいろとね,neutral
78,まとめよう 僕らは楽しんでる君は若く見える,でも物足りない だからこれだ,neutral
79,でも物足りない だからこれだ,早すぎない?,neutral
80,妻のナンシーだ 冗談やめて,ロス話があるの,neutral
81,ロス話があるの,ありがたい 話って何?,neutral
82,ありがたい 話って何?,実は ジョーイと別れたの,sadness
83,実は ジョーイと別れたの,ホント?どうして? ジョーイはいい人よ,surprise
84,ホント?どうして? ジョーイはいい人よ,でもやっぱり一 違いすぎるホモエレクトスで笑うのよ,sadness
85,でもやっぱり一 違いすぎるホモエレクトスで笑うのよ,やっぱやつか,anger
86,やっぱやつか,だからこれでよかったの,sadness
87,だからこれでよかったの,大丈夫?,neutral
88,大丈夫?,ホント言うと一 ほかにも別れた理由があるの,neutral
89,ホント言うと一 ほかにも別れた理由があるの,気づいたのよ ほかの人を好きになりかけてるって,neutral
90,気づいたのよ ほかの人を好きになりかけてるって,基調講演者はプールに投げられるのが恒例だ,neutral
91,基調講演者はプールに投げられるのが恒例だ,クラリック教授 大事な話の最中です,neutral
92,クラリック教授 大事な話の最中です,今はちょっと,neutral
93,今はちょっと,2人とも投げようか,joy
94,2人とも投げようか,僕らは知的な科学者だしそれに何より一,neutral
95,僕らは知的な科学者だしそれに何より一,捕まらないよ逃げろ!,joy
96,便利な帽子でしょ,この砂は?,surprise
97,この砂は?,嵐でこうなったのね,neutral
98,嵐でこうなったのね,巨大なネコのトイレかも,neutral
99,あの顔覚えて あとで俺が殴る,俺のシーンはこのあとだ,joy
100,俺のシーンはこのあとだ,生麦生米と言っても納得しそう,neutral
101,生麦生米と言っても納得しそう,何してるの?,neutral
102,何してるの?,オムツのCMが?,neutral
103,オムツのCMが?,子供とか責任ってもう,fear
104,子供とか責任ってもう,ピザです 僕が出る!,joy
105,食事よりキャッチボールの記録に挑む?,挑むとも,neutral
106,挑むとも,2時間落とさなかったらすごいよな?,joy
107,2時間落とさなかったらすごいよな?,確かに,neutral
108,確かに,小便したいレイチェルが入ってる,sadness
109,小便したいレイチェルが入ってる,ダメかと思った,surprise
110,ダメかと思った,本当にね投げる手は替えるな,fear
111,エリンとは? 最高に楽しいデートだった,君らは正しかった,joy
112,君らは正しかった,最初のデートは緊張でぎこちなかったんだ,neutral
113,最初のデートは緊張でぎこちなかったんだ,エッチは? したせいで落ち着いた,neutral
114,エッチは? したせいで落ち着いた,彼女とは趣味が合うサンドイッチ好きだしね でもひいきの球団が違う点は子供ができたとき困るな,joy
